Age,4
Nationality,5
Potential,8
Club,9
Special,13
Acceleration,14
Aggression,15
Agility,16
Balance,17
Ball control,18
Composure,19
Crossing,20
Curve,21
Dribbling,22
Finishing,23
Free kick accuracy,24
Heading accuracy,30
Interceptions,31
Jumping,32
Long passing,33
Long shots,34
Marking,35
Penalties,36
Positioning,37
Reactions,38
Short passing,39
Shot power,40
Sliding tackle,41
Sprint speed,42
Stamina,43
Standing tackle,44
Strength,45
Vision,46
Volleys,47
Preferred Positions,63
